"Country","Landscape..","Household.ID","Round","Good_Soil","Bad_Soil","erosion_control"
"GHA","L04","pKpxx6da5u6","1",1,0,FALSE
"GHA","L04","qAcLcu8zBx5","1",0,1,TRUE
"GHA","L04","qie8QYVB3s6","1",0,0,FALSE
"GHA","L04","rfcJhQz5u38","1",0.833333333333333,0,FALSE
"GHA","L04","rzTsdWdr6y3","1",1,0,FALSE
"GHA","L04","tsyzA3E2k36","1",1,0,FALSE
"GHA","L04","v5AnXEEYcG3","1",1,0,FALSE
"GHA","L04","vVmon4etMR7","1",1,0,FALSE
"GHA","L04","wbguRJt7c17","1",1,0,FALSE
"GHA","L04","WgmUQnWemm7","1",1,0,FALSE
"GHA","L04","WWKohq5CDc4","1",1,0,FALSE
"GHA","L04","X4aAZpreBL7","1",1,0,FALSE
"GHA","L04","yDfj9pye3S8","1",1,0,FALSE
"GHA","L04","zbPhVbZ2hNA","1",1,0,FALSE
"GHA","L04","zebc4qh1zU8","1",1,0,TRUE
"GHA","L04","znLkiipm6hB","1",0.666666666666667,0,FALSE
"GHA","L05","4DD1mGbS2b6","1",1,0,FALSE
"GHA","L05","6o1LRkbmmy9","1",1,0,FALSE
"GHA","L05","6rFDY18oMR9","1",1,0,FALSE
"GHA","L05","FEggU1cWz95","1",1,0,FALSE
"GHA","L05","FYM9NczMwv9","1",1,0,FALSE
"GHA","L05","fyW9nSiREpA","1",1,0,FALSE
"GHA","L05","gggGZ6AgZ6A","1",1,0,FALSE
"GHA","L05","HqDbz9qjXL","1",1,0,FALSE
"GHA","L05","JsGWt7k9dz2","1",1,0,FALSE
"GHA","L05","jVAvmnH4bS6","1",1,0,FALSE
"GHA","L05","LFwa12jnrL2","1",1,0,FALSE
"GHA","L05","Ly7CbRbwGm9","1",1,0,FALSE
"GHA","L05","mKsBRiEXdL6","1",1,0,FALSE
"GHA","L05","nMZQwMPqKU4","1",1,0,FALSE
"GHA","L05","o1aKSCrDRMB","1",1,0,FALSE
"GHA","L05","o1P6K2wcxu7","1",1,0,FALSE
"GHA","L05","pdf1PrAkhV","1",1,0,FALSE
"GHA","L05","PpJDFyaTPe6","1",1,0,FALSE
"GHA","L05","QFh29fHsCvA","1",1,0,FALSE
"GHA","L05","QYtwXPgNBa3","1",1,0,FALSE
"GHA","L05","SGWDY8X7yo4","1",1,0,FALSE
"GHA","L05","U18xstU8LR7","1",1,0,FALSE
"GHA","L05","U7thyS2zJj8","1",1,0,FALSE
"GHA","L05","uF4YRcniT69","1",1,0,TRUE
"GHA","L05","wGsPM221dM8","1",0.666666666666667,0,FALSE
"GHA","L05","wTASpGRGc38","1",1,0,FALSE
"GHA","L05","WX9WPcwEjJ9","1",1,0,FALSE
"GHA","L05","XEA6aofdZo5","1",1,0,FALSE
"GHA","L05","zAweUkHmCz8","1",1,0,FALSE
"GHA","L05","zwCpRhKnPo9","1",1,0,FALSE
"GHA","L06","2Q7MnSV2oJ5","1",NA,NA,FALSE
"GHA","L06","3262VdP66d2","1",1,0,FALSE
"GHA","L06","4TD5PFFKHJ7","1",1,0,FALSE
"GHA","L06","4xFbY5oyU82","1",1,0,FALSE
"GHA","L06","7KKdwdFxzG7","1",0.6,0,FALSE
"GHA","L06","BwcbgH6pxh9","1",0,0,FALSE
"GHA","L06","c4ZGhkt4uq2","1",1,0,FALSE
"GHA","L06","CTRQQXCQTVB","1",0.666666666666667,0,FALSE
"GHA","L06","E3EGXT3BJS5","1",1,0,FALSE
"GHA","L06","eYyzj3xgGn8","1",0,1,FALSE
"GHA","L06","GAwYHaSgWn8","1",1,0,FALSE
"GHA","L06","h7GgmuPVUH3","1",0,0,FALSE
"GHA","L06","hrKn2nuXSs9","1",1,0,FALSE
"GHA","L06","iR5ETCSgpV5","1",1,0,FALSE
"GHA","L06","jCvYgt72fP4","1",1,0,FALSE
"GHA","L06","joFqVCsb215","1",1,0,FALSE
"GHA","L06","jqEwCxargT5","1",1,0,FALSE
"GHA","L06","Jsv9PkxATh9","1",0.5,0,TRUE
"GHA","L06","K7cFANftUD3","1",0,0,FALSE
"GHA","L06","LeYiNjAjKi2","1",1,0,FALSE
"GHA","L06","nYHDrtr9BkA","1",1,0,FALSE
"GHA","L06","QNH5zfmLt2B","1",1,0,FALSE
"GHA","L06","R24vZdb6HQ7","1",1,0,FALSE
"GHA","L06","reM7upJxET6","1",1,0,TRUE
"GHA","L06","SstK2kLetr6","1",1,0,FALSE
"GHA","L06","Ta22RrxG4KB","1",0,0,TRUE
"GHA","L06","thieXHRj9r7","1",1,0,FALSE
"GHA","L06","TVHKxGJD4T5","1",0,1,FALSE
"GHA","L06","uA6dFVY3tr2","1",1,0,FALSE
"GHA","L06","uVDhbqsgm8B","1",1,0,TRUE
"GHA","L06","vqK89X1n7z7","1",1,0,FALSE
"GHA","L06","W8ZrkDDq8B","1",1,0,TRUE
"GHA","L06","xJHuYg9HkC4","1",1,0,FALSE
"GHA","L06","ydHcUTHKzD7","1",1,0,FALSE
"GHA","L06","Yt9L1fZvpf5","1",0,0,FALSE
"GHA","L06","yyBkps8kGBB","1",1,0,FALSE
"RWA","L01","2AzeKX3Xdj9","1",0,0.666666666666667,TRUE
"RWA","L01","2AzeKX3Xdj9","2",1,0,TRUE
"RWA","L01","4uYtGb6q1h5","1",0.5,0.5,TRUE
"RWA","L01","4uYtGb6q1h5","2",1,0,TRUE
"RWA","L01","8DoKMFq9rv7","1",1,0,TRUE
"RWA","L01","8DoKMFq9rv7","2",1,0,TRUE
"RWA","L01","9upFZJLCfM2","1",0,0.666666666666667,TRUE
"RWA","L01","9upFZJLCfM2","2",0,0,TRUE
"RWA","L01","aDnodjimek6","1",0,0,TRUE
"RWA","L01","aDnodjimek6","2",0,1,TRUE
"RWA","L01","Ag8CWapFXT9","1",1,0,TRUE
"RWA","L01","Ag8CWapFXT9","2",1,0,TRUE
"RWA","L01","bW7iZTf8uW7","1",1,0,TRUE
"RWA","L01","bW7iZTf8uW7","2",1,0,TRUE
"RWA","L01","CxdDadFVXS7","1",0,0.666666666666667,TRUE
"RWA","L01","CxdDadFVXS7","2",1,0,TRUE
"RWA","L01","cZWWUyRwuTA","1",0,0,TRUE
"RWA","L01","cZWWUyRwuTA","2",0,0,TRUE
"RWA","L01","e2RyT8u9Vs5","1",0,1,TRUE
"RWA","L01","e2RyT8u9Vs5","2",1,0,TRUE
"RWA","L01","eVbuv11Jya9","1",0,0.5,TRUE
"RWA","L01","eVbuv11Jya9","2",0.333333333333333,0,TRUE
"RWA","L01","fSLig1NkSU7","1",0,0,TRUE
"RWA","L01","fSLig1NkSU7","2",1,0,TRUE
"RWA","L01","GBGa6M3rbd3","1",0,0.333333333333333,TRUE
