"Country","Landscape..","Household.ID","Round","No_Toilet","Flush_Toilet","Pit_Latrine","Satisfied_Drinking_Water","Unsatisfied_Drinking_Water","Dispose_Garbage_Within_Compound","No_Measure_Safe_Drinking_Water"
"TZA","L03","9WWgnSHHAA6","1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"TZA","L03","8RDtceCXmi7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L03","MLdLHWK2Qr","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L03","McAcYh2ZV69","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","1AHvfwxYcT6","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","pxqThuNPrG","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","tQBVYhTSUx5","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","mdqRMX9AQF6","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","yE1Xsrhzmk8","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"TZA","L20","ZbDwCBkG2A5","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","uz81YWocVs7","1",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"TZA","L20","uDCakBEm7VB","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"TZA","L03","5R7zjWiS4o","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L03","KYf3aU1imH5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","JbsDyyJEsp2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","QokjJw6sDKB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","RbeUER44T9B","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","EhEwHyqcgE7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","EnufChhcvN6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L20","VxhDa2qgmM7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","XaYWTVN67N4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","KyapRja3Pi6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","rai72yodTZ7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","41YTq8opiW8","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"TZA","L03","hwqvpwm7Wz7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L03","hfEUg9n1AW4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","vCAfAwy9KTA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","j18hwWBcwh5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","onVKoJG2AfA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L03","Goj6tydZtp2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L03","NNkYVQpfzGB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"TZA","L03","KkYJfxvuWf6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","ZeurtKQcW93","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","pAiSMicbJb9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","TzXCuVJ5tP5","1",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","G8pqkT9RvZB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","HPHgA99tPJA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"TZA","L20","65WUiskq7g6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"GHA","L02","d4TMBLeBJr2","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"GHA","L02","UUj4sWMqYC3","1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
