"Country","Landscape..","Mean_Annual_Fuelwood_Value","Fuelwood_Decreasing","Fuelwood_Shortage_Past_Year","Fuelwood_From_Natural_Areas","Nonfuel_NR_annual_value","Nonfuel_NR_decreasing","Collects_Nonfuel_Resources"
"GHA","L01",773.571428571429,0.916666666666667,0.16,0.833333333333333,62.3333333333333,0.869565217391304,0.758620689655172
"GHA","L02",527.423076923077,0.666666666666667,0.333333333333333,0.1,181.614583333333,0.827586206896552,0.633333333333333
"GHA","L03",835.714285714286,1,0,0.0333333333333333,78.7045454545455,0.836734693877551,0.8
"GHA","L04",820.32,0,0.5,0.0666666666666667,78.1666666666667,0.5,0.733333333333333
"GHA","L05",557.793103448276,NA,NA,0.0333333333333333,4427.33333333333,0.454545454545455,0.333333333333333
"GHA","L06",901.642857142857,0.75,0.35,0.4,324.265306122449,0.772727272727273,0.8
"RWA","L01",343920,1,1,0.116666666666667,NA,NA,0
"RWA","L02",107200,NA,NA,0,NA,NA,0
"RWA","L03",161360,NA,NA,0,65000,1,0.0333333333333333
"RWA","L04",156910.344827586,0.777777777777778,0.555555555555556,0.290322580645161,NA,1,0.0333333333333333
"RWA","L06",277760,0.954545454545455,0.954545454545455,0.360655737704918,14500,0.4,0.0819672131147541
"RWA","L07",164400,NA,NA,0,NA,NA,0
"TZA","L03",366177.811066667,1,0.217391304347826,0.766666666666667,31000,1,0.466666666666667
"TZA","L10",291133.3598,0.866666666666667,0,0.5,140800,0.75,0.533333333333333
"TZA","L11",179287.37262069,1,0,0.966666666666667,17333.3333333333,1,0.333333333333333
"TZA","L18",381088.923533333,1,0,0.5,198625,0.88,0.666666666666667
"TZA","L19",365688.922133333,1,0.0344827586206897,0.966666666666667,224500,1,0.3
"TZA","L20",403071.465214286,1,0.366666666666667,1,22666.6666666667,1,0.233333333333333
"TZA","L22",273533.3582,1,0,1,50545.4545454545,0.942857142857143,0.9
"UGA","L01",2036000,0.4375,0.1875,0.533333333333333,444641.666666667,0.788461538461538,0.866666666666667
"UGA","L02",1825333.33333333,0.823529411764706,0.764705882352941,0.566666666666667,192000,0.857142857142857,0.241379310344828
"UGA","L03",2198620.68965517,1,0.357142857142857,0.933333333333333,44290.9090909091,0.857142857142857,0.333333333333333
"UGA","L04",1961333.33333333,0.75,0.583333333333333,0.4,122092.307692308,0.631578947368421,0.533333333333333
"UGA","L06",1773333.33333333,0.590909090909091,0.318181818181818,0.733333333333333,309044.444444444,0.533333333333333,0.433333333333333
"UGA","L07",1656000,0.941176470588235,0.705882352941177,0.566666666666667,82833.3333333333,0.825,0.733333333333333
