"Country","Landscape","Household_ID","Round","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing","Rate"
"GHA","L03","f4fJfgvzWm3","1",416,3,287.028518859246,19.0892364305428,0.666666666666667,4.348
"GHA","L03","GDXUCUdQZB6","1",104,3,71.7571297148114,4.59981600735971,0,4.348
"GHA","L03","GPMVX5tyrx4","1",208,3,143.514259429623,22.9990800367985,1,4.348
"GHA","L03","HYK4pqongQ7","1",260,3,179.392824287029,64.3974241030359,1,4.348
"GHA","L03","ignYVcEWdh6","1",312,3,215.271389144434,0.689972401103956,1,4.348
"GHA","L03","K5Z7A224KK7","1",312,3,215.271389144434,45.9981600735971,1,4.348
"GHA","L03","kLYaJ3DYGC7","1",156,3,107.635694572217,0,NA,4.348
"GHA","L03","Kte7LVWAkq7","1",156,3,107.635694572217,0,NA,4.348
"GHA","L03","nLAqDVxLW42","1",NA,NA,NA,55.1977920883165,0.666666666666667,4.348
"GHA","L03","oGAiiS5KTH6","1",156,3,107.635694572217,135.694572217111,0.5,4.348
"GHA","L03","phfDZ3p9QE5","1",520,3,358.785648574057,13.7994480220791,1,4.348
"GHA","L03","qaB9PRByhQ7","1",520,3,358.785648574057,68.9972401103956,1,4.348
"GHA","L03","TfTiB3qRvU2","1",52,3,35.8785648574057,91.9963201471941,1,4.348
"GHA","L03","UmXMMFYwnL4","1",156,3,107.635694572217,34.2686292548298,0.666666666666667,4.348
"GHA","L03","UNJbgF8rDE4","1",312,3,215.271389144434,18.3992640294388,1,4.348
"GHA","L03","w5r45534D96","1",104,3,71.7571297148114,1.83992640294388,1,4.348
"GHA","L03","wtorB9F7hm5","1",156,3,107.635694572217,36.7985280588776,0.666666666666667,4.348
"GHA","L03","ymaHgFS7sD7","1",156,3,107.635694572217,0,NA,4.348
"GHA","L03","YqAFB2BMNLB","1",156,3,107.635694572217,0,NA,4.348
"GHA","L04","5rf37agRoT5","1",52,3,35.8785648574057,9.19963201471941,0,4.348
"GHA","L04","7PXpD9kuLR3","1",416,3,287.028518859246,0,NA,4.348
"GHA","L04","9M4qT2DMJj","1",208,3,143.514259429623,5.74977000919963,1,4.348
"GHA","L04","AKMWbrcHqo7","1",156,3,107.635694572217,0,NA,4.348
"GHA","L04","AZbZLMWXXU5","1",468,3,322.907083716651,4.59981600735971,0,4.348
"GHA","L04","cC52Z4XDyF4","1",1040,3,717.571297148114,60.7175712971481,1,4.348
"GHA","L04","CxMdVRz4Fo","1",NA,NA,NA,4.59981600735971,0,4.348
"GHA","L04","dfyqb4HLxn8","1",468,3,322.907083716651,20.2391904323827,0,4.348
"GHA","L04","dSafpBy1bV9","1",NA,NA,NA,0,NA,4.348
"GHA","L04","ev9j4bGtBTB","1",260,3,179.392824287029,13.7994480220791,1,4.348
"GHA","L04","eze6AQDVxQ4","1",156,3,107.635694572217,9.19963201471941,0,4.348
"GHA","L04","HJ9K9FonFCA","1",364,3,251.14995400184,55.1977920883165,0,4.348
"GHA","L04","LMzw8JsSze","1",312,3,215.271389144434,27.5988960441582,0,4.348
"GHA","L04","NqtNJxp3qaB","1",104,3,71.7571297148114,1.83992640294388,0,4.348
"GHA","L04","P6yZhzEGVc6","1",52,3,35.8785648574057,0,0,4.348
"GHA","L04","qAcLcu8zBx5","1",104,3,71.7571297148114,0,NA,4.348
"GHA","L04","qie8QYVB3s6","1",104,3,71.7571297148114,1.83992640294388,1,4.348
"GHA","L04","rzTsdWdr6y3","1",520,3,358.785648574057,9.19963201471941,1,4.348
"GHA","L04","tsyzA3E2k36","1",24,3,16.5593376264949,0,NA,4.348
"GHA","L04","v5AnXEEYcG3","1",104,3,71.7571297148114,1.83992640294388,1,4.348
"GHA","L04","vVmon4etMR7","1",104,3,71.7571297148114,91.9963201471941,0.5,4.348
"GHA","L04","wbguRJt7c17","1",624,3,430.542778288868,0,NA,4.348
"GHA","L04","WgmUQnWemm7","1",676,3,466.421343146274,18.3992640294388,1,4.348
"GHA","L04","WWKohq5CDc4","1",NA,NA,NA,0,NA,4.348
"GHA","L04","X4aAZpreBL7","1",156,3,107.635694572217,9.19963201471941,1,4.348
"GHA","L04","yDfj9pye3S8","1",NA,NA,NA,9.19963201471941,0,4.348
"GHA","L04","zbPhVbZ2hNA","1",104,3,71.7571297148114,188.592456301748,1,4.348
"GHA","L04","zebc4qh1zU8","1",52,3,35.8785648574057,4.59981600735971,0,4.348
"GHA","L04","znLkiipm6hB","1",208,3,143.514259429623,0.919963201471941,0,4.348
"GHA","L05","4DD1mGbS2b6","1",208,3,143.514259429623,0,1,4.348
"GHA","L05","6o1LRkbmmy9","1",156,3,107.635694572217,0,NA,4.348
"GHA","L05","6rFDY18oMR9","1",208,3,143.514259429623,0,NA,4.348
"GHA","L05","FEggU1cWz95","1",208,3,143.514259429623,0,NA,4.348
"GHA","L05","FYM9NczMwv9","1",52,3,35.8785648574057,0,NA,4.348
"GHA","L05","fyW9nSiREpA","1",208,3,143.514259429623,0,NA,4.348
"GHA","L05","gggGZ6AgZ6A","1",156,3,107.635694572217,0,NA,4.348
"GHA","L05","HqDbz9qjXL","1",104,3,71.7571297148114,91.9963201471941,1,4.348
"GHA","L05","JsGWt7k9dz2","1",24,3,16.5593376264949,0,0,4.348
"GHA","L05","jVAvmnH4bS6","1",156,3,107.635694572217,0,0,4.348
"GHA","L05","LFwa12jnrL2","1",104,3,71.7571297148114,0,NA,4.348
"GHA","L05","Ly7CbRbwGm9","1",156,3,107.635694572217,0,NA,4.348
"GHA","L05","mKsBRiEXdL6","1",208,3,143.514259429623,0,NA,4.348
"GHA","L05","nMZQwMPqKU4","1",312,3,215.271389144434,0,NA,4.348
"GHA","L05","o1aKSCrDRMB","1",156,3,107.635694572217,0,NA,4.348
"GHA","L05","o1P6K2wcxu7","1",NA,NA,NA,0,NA,4.348
"GHA","L05","pdf1PrAkhV","1",156,3,107.635694572217,0,NA,4.348
"GHA","L05","PpJDFyaTPe6","1",104,3,71.7571297148114,0,NA,4.348
"GHA","L05","QFh29fHsCvA","1",312,3,215.271389144434,18.3992640294388,1,4.348
"GHA","L05","QYtwXPgNBa3","1",104,3,71.7571297148114,0,0,4.348
"GHA","L05","SGWDY8X7yo4","1",520,3,358.785648574057,5979.76080956762,1,4.348
"GHA","L05","U18xstU8LR7","1",52,3,35.8785648574057,0.919963201471941,0,4.348
"GHA","L05","U7thyS2zJj8","1",156,3,107.635694572217,9.19963201471941,0,4.348
"GHA","L05","uF4YRcniT69","1",208,3,143.514259429623,9.19963201471941,1,4.348
"GHA","L05","wGsPM221dM8","1",156,3,107.635694572217,0,NA,4.348
"GHA","L05","wTASpGRGc38","1",156,3,107.635694572217,0,NA,4.348
"GHA","L05","WX9WPcwEjJ9","1",364,3,251.14995400184,0,NA,4.348
"GHA","L05","XEA6aofdZo5","1",364,3,251.14995400184,0,NA,4.348
"GHA","L05","zAweUkHmCz8","1",312,3,215.271389144434,0,NA,4.348
"GHA","L05","zwCpRhKnPo9","1",12,3,8.27966881324747,0,NA,4.348
"GHA","L06","1HhLECbGhy6","1",52,3,35.8785648574057,0,NA,4.348
"GHA","L06","2Q7MnSV2oJ5","1",416,3,287.028518859246,16.5593376264949,0,4.348
"GHA","L06","3262VdP66d2","1",7,3,4.82980680772769,0,NA,4.348
"GHA","L06","4TJsubF6Yx6","1",124,3,85.5565777368905,0,0,4.348
"GHA","L06","4xFbY5oyU82","1",52,3,35.8785648574057,22.9990800367985,1,4.348
"GHA","L06","5UXNFVq35e8","1",12,3,8.27966881324747,597.976080956762,1,4.348
"GHA","L06","7KKdwdFxzG7","1",156,3,107.635694572217,160.99356025759,1,4.348
"GHA","L06","bJGfxV1Xw6","1",208,3,143.514259429623,1.83992640294388,0,4.348
"GHA","L06","bTw4qVWG7a6","1",NA,NA,NA,160.99356025759,0.666666666666667,4.348
"GHA","L06","BwcbgH6pxh9","1",1820,3,1255.7497700092,58.8776448942042,1,4.348
"GHA","L06","c4ZGhkt4uq2","1",208,3,143.514259429623,96.5961361545538,0.666666666666667,4.348
"GHA","L06","CTRQQXCQTVB","1",312,3,215.271389144434,55.1977920883165,1,4.348
"GHA","L06","DEyNXLrfRG2","1",128,3,88.3164673413063,36.7985280588776,1,4.348
"GHA","L06","E3EGXT3BJS5","1",76,3,52.4379024839006,0,NA,4.348
"GHA","L06","eYyzj3xgGn8","1",260,3,179.392824287029,20.2391904323827,1,4.348
"GHA","L06","F7pxhW1PHK7","1",104,3,71.7571297148114,152.713891444342,0.5,4.348
"GHA","L06","GAwYHaSgWn8","1",104,3,71.7571297148114,64.3974241030359,1,4.348
"GHA","L06","h7GgmuPVUH3","1",NA,NA,NA,0,NA,4.348
"GHA","L06","hrKn2nuXSs9","1",260,3,179.392824287029,3735.05059797608,1,4.348
"GHA","L06","iR5ETCSgpV5","1",104,3,71.7571297148114,84.6366145354186,0.5,4.348
"GHA","L06","jCvYgt72fP4","1",208,3,143.514259429623,0,NA,4.348
"GHA","L06","joFqVCsb215","1",156,3,107.635694572217,27.5988960441582,1,4.348
"GHA","L06","jPJAT9f2La4","1",48,3,33.1186752529899,4.59981600735971,1,4.348
"GHA","L06","jsKMRaBxNf","1",780,3,538.178472861086,38.6384544618215,1,4.348
"GHA","L06","Jsv9PkxATh9","1",108,3,74.5170193192272,147.194112235511,0.75,4.348
"GHA","L06","K7cFANftUD3","1",104,3,71.7571297148114,64.3974241030359,1,4.348
"GHA","L06","LeYiNjAjKi2","1",832,3,574.057037718491,1937.44250229991,1,4.348
"GHA","L06","nYHDrtr9BkA","1",104,3,71.7571297148114,71.7571297148114,0.833333333333333,4.348
"GHA","L06","QNH5zfmLt2B","1",52,3,35.8785648574057,45.9981600735971,1,4.348
"GHA","L06","R24vZdb6HQ7","1",104,3,71.7571297148114,41.3983440662373,0.333333333333333,4.348
"GHA","L06","R3dD5HrGm58","1",208,3,143.514259429623,0,NA,4.348
"GHA","L06","reM7upJxET6","1",256,3,176.632934682613,73.5970561177553,1,4.348
"GHA","L06","SstK2kLetr6","1",156,3,107.635694572217,36.7985280588776,1,4.348
"GHA","L06","Ta22RrxG4KB","1",208,3,143.514259429623,4.59981600735971,1,4.348
"GHA","L06","thieXHRj9r7","1",260,3,179.392824287029,113.615455381785,0.142857142857143,4.348
"GHA","L06","TVHKxGJD4T5","1",104,3,71.7571297148114,0,NA,4.348
"GHA","L06","uA6dFVY3tr2","1",260,3,179.392824287029,80.0367985280589,1,4.348
"GHA","L06","uVDhbqsgm8B","1",104,3,71.7571297148114,0,NA,4.348
"GHA","L06","vqK89X1n7z7","1",104,3,71.7571297148114,82.7966881324747,0.333333333333333,4.348
"GHA","L06","W8ZrkDDq8B","1",1300,3,896.964121435143,919.963201471941,1,4.348
"GHA","L06","xJHuYg9HkC4","1",260,3,179.392824287029,112.235510579577,1,4.348
"GHA","L06","ydHcUTHKzD7","1",1664,3,1148.11407543698,269.089236430543,1,4.348
"GHA","L06","Yt9L1fZvpf5","1",8,3,5.51977920883165,34.4986200551978,0.5,4.348
"GHA","L06","yyBkps8kGBB","1",832,3,574.057037718491,18.3992640294388,0.5,4.348
"RWA","L01","2AzeKX3Xdj9","1",312,600,223.175965665236,0,NA,838.8
"RWA","L01","2AzeKX3Xdj9","2",364,600,260.371959942775,0,NA,838.8
"RWA","L01","4uYtGb6q1h5","1",208,600,148.783977110157,0,NA,838.8
"RWA","L01","4uYtGb6q1h5","2",208,600,148.783977110157,0,NA,838.8
"RWA","L01","8DoKMFq9rv7","1",104,600,74.3919885550787,0,NA,838.8
"RWA","L01","8DoKMFq9rv7","2",156,600,111.587982832618,0,NA,838.8
"RWA","L01","9upFZJLCfM2","1",272,600,194.563662374821,0,NA,838.8
"RWA","L01","9upFZJLCfM2","2",312,600,223.175965665236,0,NA,838.8
"RWA","L01","aDnodjimek6","1",312,600,223.175965665236,0,NA,838.8
