"Country","Landscape","TotalIncome","AgIncome","NonAgIncome","AgCosts","Income_Inequality_Gini"
"GHA","L01",984.017264148144,242.439979820162,741.577284327982,55.414428584147,0.798565583559511
"GHA","L02",1176.92974333027,880.351119288562,296.578624041705,78.1547071450475,0.425887986942574
"GHA","L03",1499.40312020853,1440.77736890524,58.6257513032812,183.747316773996,0.551076432269177
"GHA","L04",1806.85332062201,761.937264444906,1044.91605617711,61.9287325281182,0.61809970645066
"GHA","L05",3108.54910380251,2414.34375958295,694.205344219565,72.523765716038,0.503409416628959
"GHA","L06",1979.64194396986,993.253603189206,986.388340780655,103.792657817497,0.571798708352819
"RWA","L01",429.776527022731,119.3987442378,310.377782784931,11.5052654585916,0.436798089854728
"RWA","L02",1142.70955396598,360.872675250358,781.836878715626,81.7255007153076,0.530920450526752
"RWA","L03",522.99685888571,111.719122556032,411.277736329677,7.52861230329041,0.419367612085433
"RWA","L04",496.023917898585,191.669051025274,304.354866873311,16.1790653314258,0.438712778229132
"RWA","L06",640.342329682798,211.126938319109,429.215391363689,4.87991876736882,0.580987307036266
"RWA","L07",397.461057860436,124.690430774122,272.770627086314,5.93824511206485,0.452460087823555
"TZA","L03",514.940401013715,218.935629099583,296.004771914132,19.9880739415623,0.76166442874237
"TZA","L10",475.868162492546,42.9703339296363,432.89782856291,7.46869409660107,0.756963828738721
"TZA","L11",624.664590339893,176.244782349434,448.419807990459,23.5032796660704,0.630525455283615
"TZA","L18",960.743689624329,178.747763864043,781.995925760286,45.5381633870006,0.697153942997042
"TZA","L19",1557.80678533095,304.162194394753,1253.6445909362,6.3953488372093,0.470030571232066
"TZA","L20",2240.61568574836,929.04740608229,1311.56827966607,23.4645199761479,0.625214264199324
"TZA","L22",416.850250745379,98.2945736434109,318.555677101968,3.00238521168754,0.656314130028333
"UGA","L01",2325.54417190542,89.7603152526657,2235.78385665276,4.78164116828929,0.739142534920364
"UGA","L02",494.327705887807,234.363467779323,259.964238108484,9.90866944830784,0.445316523708278
"UGA","L03",638.522685581827,262.912378303199,375.610307278628,15.9740380157626,0.573694071582352
"UGA","L04",1053.85367723371,120.00191837322,933.851758860486,19.7352644957076,0.709267950281514
"UGA","L06",665.316820676866,340.75558646268,324.561234214186,28.2132591562355,0.563672953387433
"UGA","L07",357.291365229485,94.9229949003245,262.368370329161,7.16365322206769,0.642748513574869
