"Country","Landscape","Household_ID","Round","Total_Income","AgIncome","NonAgIncome","AgInvestments"
"UGA","L07","7yhK3asbcg8","1",12000,12000,0,11200
"TZA","L22","84Tt3igkks","1",2e+05,2e+05,0,0
"GHA","L01","87qeDKg8sj5","1",45,45,0,100
"TZA","L11","8bfdq81qVM8","1",3826000,176000,3650000,72000
"RWA","L01","8DoKMFq9rv7","1",45200,45200,0,13550
"RWA","L01","8DoKMFq9rv7","2",56000,56000,0,1200
"UGA","L02","8jLMpgU7qmA","1",145000,145000,0,12200
"RWA","L07","8LgQmjxaed7","1",104285.72,0,104285.72,0
"TZA","L22","8pbKc5jDHS6","1",2340000,150000,2190000,0
"RWA","L07","8QSNRiJbU45","1",461000,23000,438000,9000
"UGA","L01","8r9jJ38EDF2","1",0,0,0,37500
"TZA","L03","8RDtceCXmi7","1",340000,340000,0,15000
"RWA","L07","8rMnuSjsKfA","1",527000.004,16000,511000.004,13500
"UGA","L03","8WWivGcFUz5","1",1561785.72,1457500,104285.72,150000
"TZA","L18","9921bP6EeY4","1",413200,413200,0,60000
"UGA","L07","9D4NrgAzDH4","1",880000,880000,0,10000
"TZA","L10","9ES5SSTauT6","1",12000,12000,0,0
"UGA","L04","9iKLxLjVu77","1",6857143.2,0,6857143.2,8000
"GHA","L04","9M4qT2DMJj","1",11970,11970,0,200
"UGA","L02","9P8HkL34az2","1",3116700,2276700,840000,7400
"RWA","L07","9s7aPD8ZRh7","1",737000,737000,0,0
"RWA","L01","9upFZJLCfM2","1",512857.16,2e+05,312857.16,14300
"RWA","L01","9upFZJLCfM2","2",853920,123920,730000,12350
"TZA","L22","9uri5wypzL4","1",2535714.4,450000,2085714.4,6000
"TZA","L03","9WWgnSHHAA6","1",285800,189800,96000,43000
"RWA","L07","9yvw1XWDNpA","1",8500,8500,0,600
"TZA","L22","A4HX8ZvF3a8","1",276428.58,120000,156428.58,0
"TZA","L19","a77UhCZgDh2","1",2484000,1332000,1152000,75000
"UGA","L01","aANwrQbMsa3","1",454000,454000,0,16800
"GHA","L02","aC1Yp9Vbbb9","1",3620,3620,0,363
"TZA","L18","AcecNqxEnz4","1",1660500,18000,1642500,0
"RWA","L06","ACtMM9ksKX9","1",33800,33800,0,0
"RWA","L06","ACtMM9ksKX9","2",292950,37450,255500,7360
"RWA","L01","aDnodjimek6","1",140000,20000,120000,1950
"RWA","L01","aDnodjimek6","2",150000,150000,0,2550
"GHA","L01","aEPhhDYMsKA","1",300,300,0,108
"TZA","L19","aFuKnt435e8","1",8450000,1150000,7300000,0
"RWA","L01","Ag8CWapFXT9","1",380000,140000,240000,27100
"RWA","L01","Ag8CWapFXT9","2",411200,291200,120000,4700
"RWA","L07","ah2mXHfB7w4","1",177117.152,10260,166857.152,4800
"GHA","L04","AKMWbrcHqo7","1",0,0,0,26
"UGA","L04","akR9WC1ESX","1",32000,32000,0,36000
"RWA","L02","am7bPMj2uA","1",888400,888400,0,49000
"TZA","L22","An4VyekaKi6","1",48000,48000,0,6400
"TZA","L19","aNYTfhJUuk9","1",9640000,3100000,6540000,54000
"RWA","L02","AoyYjSvsgJA","1",272571.44,4000,268571.44,0
"GHA","L02","ArjKWQXjiQ2","1",585,585,0,28
"GHA","L02","arUegScQDF9","1",5658.57144,5450,208.57144,120
"RWA","L04","AVbrhtAbDP5","1",1205014.32,579300,625714.32,19350
"RWA","L06","AvkkCXoYrg8","1",980000,67500,912500,2400
"RWA","L06","AvkkCXoYrg8","2",91000,91000,0,6000
"TZA","L18","ayZb55CgmK4","1",7e+05,7e+05,0,0
"RWA","L02","Az5BDLdFCQB","1",434000,434000,0,135000
"GHA","L04","AZbZLMWXXU5","1",15060,3060,12000,1915
"UGA","L02","B77fdVMrcbB","1",3070000,1870000,1200000,0
"TZA","L19","B7g3YrTCTUB","1",1095000,0,1095000,0
"RWA","L03","B8yvkFk2DJ5","1",279000,23500,255500,4500
"TZA","L10","bbQXrXaEo96","1",9646429.1,0,9646429.1,0
"TZA","L19","BcLx8GwEyf5","1",510000,510000,0,35000
"RWA","L04","bdXeZG9z586","1",1225200,889200,336000,20980
"UGA","L03","BiwTi7hdY7","1",330000,90000,240000,15600
"GHA","L02","BNLAgvK3aCA","1",3797,3797,0,1806
"GHA","L01","bnNcJ3bknL7","1",2312.8572,1270,1042.8572,156
"TZA","L22","BP6YrbuDcL","1",720000,720000,0,38000
"TZA","L10","Br9y98ZGdk8","1",21000,21000,0,0
"RWA","L06","BrVjLcZwqr3","1",50000,50000,0,9000
"RWA","L06","BrVjLcZwqr3","2",36000,36000,0,4500
"RWA","L03","bsDhjVrvZ8B","1",678300,13300,665000,14500
"UGA","L02","bUbW5XZNtd3","1",1172857.2,130000,1042857.2,0
"GHA","L03","bvFDUPT6cv8","1",4300,4300,0,925
"TZA","L22","BVUEfqZQ6KA","1",1743571.44,75000,1668571.44,6000
"RWA","L01","bW7iZTf8uW7","1",339428.58,27000,312428.58,0
"RWA","L01","bW7iZTf8uW7","2",466800,67800,399000,1500
"GHA","L06","BwcbgH6pxh9","1",14838.7148,5453,9385.7148,100
"TZA","L11","BXfxdbawNd8","1",175000,175000,0,4000
"RWA","L06","c2cooWnTEh2","1",504000,0,504000,8000
"RWA","L06","c2cooWnTEh2","2",493285.74,24000,469285.74,0
"RWA","L07","C3b2zHKsNU3","1",985500,0,985500,9100
"GHA","L06","c4ZGhkt4uq2","1",2640,2640,0,286
"RWA","L07","C56aeDFWPa7","1",45750,45750,0,6000
"GHA","L03","C7yu9JZpZ96","1",2040,2040,0,2584
"UGA","L02","c8oh3AnL1P","1",588928.6,67500,521428.6,17000
"RWA","L06","CGeuGzTDPV5","1",588000,369000,219000,0
"RWA","L06","CGeuGzTDPV5","2",144400,144400,0,0
"TZA","L20","ciQdXdUfHV6","1",5490000,15000,5475000,2500
"TZA","L11","ckvwCyqWX59","1",2645143,38000,2607143,31500
"UGA","L03","CLcgNTsm4y7","1",6286428.6,5045000,1241428.6,452000
"TZA","L11","CnNmmWuhuE4","1",112000,112000,0,0
"RWA","L07","CnrK9APvaT4","1",104285.72,0,104285.72,10200
"RWA","L07","cQsxahQ8sm8","1",277000,21500,255500,6840
"UGA","L01","CR6uc2DJjF2","1",202500,202500,0,0
"GHA","L02","cSN6zpcALp9","1",14543.572,4115,10428.572,821
"GHA","L06","CTRQQXCQTVB","1",4475,2915,1560,199
"GHA","L06","CTRQQXCQTVB","1",4475,2915,1560,199
"UGA","L07","cTxbn5tVsdA","1",782142.9,0,782142.9,29000
"RWA","L04","cuVuG6WmhC5","1",166560,46560,120000,7900
"UGA","L04","CW2n61MumoA","1",70000,70000,0,164000
"RWA","L01","CxdDadFVXS7","1",66400,66400,0,0
"RWA","L01","CxdDadFVXS7","2",738500,423500,315000,28100
"GHA","L04","CxMdVRz4Fo","1",29977.858,2035,27942.858,40
"RWA","L01","cZWWUyRwuTA","1",638000,218000,420000,3550
"RWA","L01","cZWWUyRwuTA","2",889200,529200,360000,26285
"UGA","L01","D3dra7efrt6","1",395714.3,15000,380714.3,0
"UGA","L02","D3k4R1hEUdA","1",317214.3,56500,260714.3,30200
"GHA","L02","d4TMBLeBJr2","1",2795,2795,0,411
"RWA","L02","d77n4FzyP99","1",753028.6,231600,521428.6,27700
"RWA","L02","DEfS8gcomk3","1",269500,14000,255500,0
"TZA","L03","dFX9VzkXhCA","1",90000,90000,0,0
"UGA","L06","dmUnjxva8t4","1",3450000,210000,3240000,80000
"GHA","L01","dQNLmp8vbx7","1",782.1429,0,782.1429,24
"RWA","L03","DRwp2xk3gPB","1",287000,287000,0,3950
"GHA","L04","dSafpBy1bV9","1",5314.286,100,5214.286,30
"TZA","L10","dtBzhqj3kQA","1",23000,23000,0,10000
"UGA","L01","DUyLNfXcu24","1",5652500.1,0,5652500.1,0
"RWA","L06","dVN9QRTY6b4","1",0,0,0,5100
"RWA","L06","dVN9QRTY6b4","2",564000,199000,365000,0
"GHA","L01","dVULAjf4W89","1",60,60,0,121
"GHA","L01","dVULAjf4W89","1",60,60,0,121
"UGA","L04","Dw3Ud994KTB","1",4034000,384000,3650000,52800
"GHA","L03","dWWPvz9La34","1",1200,1200,0,168
"RWA","L03","DybB4C7m1V6","1",270000,90000,180000,0
"TZA","L18","dyd2EZBuR66","1",620000,620000,0,43000
"RWA","L01","e2RyT8u9Vs5","1",452000,2e+05,252000,23000
"RWA","L01","e2RyT8u9Vs5","2",183000,3000,180000,16400
"GHA","L06","E3EGXT3BJS5","1",2402.8572,1360,1042.8572,60
"RWA","L06","e3YsHqYkYK6","1",44500,44500,0,0
"RWA","L06","e3YsHqYkYK6","2",45000,45000,0,5600
"GHA","L01","e4zTqWoHTi","1",4990,4990,0,0
"TZA","L03","e7KZhetzbx","1",277000,277000,0,190000
"UGA","L07","E9xodbJqWb8","1",0,0,0,0
"UGA","L02","ea6XKQhZyd3","1",2135000,2135000,0,15000
"GHA","L01","EAdeyuGhu85","1",10428.572,0,10428.572,84
"GHA","L03","eaQik5x8C35","1",1450,1450,0,572
"TZA","L11","eBi2TWWBfPA","1",12000,12000,0,55000
"TZA","L20","EhEwHyqcgE7","1",585000,585000,0,10000
"RWA","L07","EhXFcHgzLr8","1",187000,187000,0,0
"RWA","L04","EJpjhf8ixG7","1",136500,16500,120000,9360
"GHA","L01","EmjTzkKPcK4","1",6000,6000,0,1580
"TZA","L20","EnufChhcvN6","1",330000,330000,0,9000
"UGA","L07","EQM92niTjw","1",90500,90500,0,30000
"UGA","L01","EQUQxBxxA28","1",14697142.88,40000,14657142.88,0
"TZA","L11","ERzfUDJvVr5","1",260000,260000,0,31500
"RWA","L03","eSXVTUZDKD3","1",881500,497500,384000,8600
"GHA","L04","ev9j4bGtBTB","1",1005,1005,0,560
