"Country","Landscape","Household_ID","Round","size","literate","years","age"
"GHA","L03","UNJbgF8rDE4","1",4,0,1.75,15.5
"GHA","L03","w5r45534D96","1",2,0.5,0,82
"GHA","L03","wtorB9F7hm5","1",14,0.428571428571429,3.14285714285714,17
"GHA","L03","ymaHgFS7sD7","1",2,1,7,38
"GHA","L03","YqAFB2BMNLB","1",1,1,13,38
"GHA","L04","5rf37agRoT5","1",7,0.285714285714286,3,12.7142857142857
"GHA","L04","7PXpD9kuLR3","1",5,0.8,8.4,29
"GHA","L04","9M4qT2DMJj","1",5,0.8,7,41.8
"GHA","L04","AKMWbrcHqo7","1",4,0.25,3.75,33
"GHA","L04","AZbZLMWXXU5","1",10,0.9,7.3,22.1
"GHA","L04","cC52Z4XDyF4","1",8,0.75,6.625,18.75
"GHA","L04","CxMdVRz4Fo","1",9,0.666666666666667,4.66666666666667,17.2222222222222
"GHA","L04","dfyqb4HLxn8","1",7,0.857142857142857,9.42857142857143,24.1428571428571
"GHA","L04","dSafpBy1bV9","1",3,0.333333333333333,6,23.3333333333333
"GHA","L04","ev9j4bGtBTB","1",8,0.125,3.125,14.25
"GHA","L04","eze6AQDVxQ4","1",6,0.833333333333333,8,35.5
"GHA","L04","HJ9K9FonFCA","1",8,0.875,9.875,26.625
"GHA","L04","LMzw8JsSze","1",6,0.5,7.5,24
"GHA","L04","NqtNJxp3qaB","1",1,0,11,43
"GHA","L04","P6yZhzEGVc6","1",1,0,13,52
"GHA","L04","qAcLcu8zBx5","1",7,0.571428571428571,5.66666666666667,20.7142857142857
"GHA","L04","qie8QYVB3s6","1",4,0.5,7.75,39.75
"GHA","L04","rzTsdWdr6y3","1",3,0.666666666666667,4.66666666666667,40.3333333333333
"GHA","L04","tsyzA3E2k36","1",2,0,5.5,71
"GHA","L04","v5AnXEEYcG3","1",2,1,12,54.5
"GHA","L04","vVmon4etMR7","1",3,0,4.33333333333333,35.6666666666667
"GHA","L04","wbguRJt7c17","1",3,1,13,58.6666666666667
"GHA","L04","WgmUQnWemm7","1",6,1,10.6666666666667,37
"GHA","L04","WWKohq5CDc4","1",12,0.25,5.5,33.9166666666667
"GHA","L04","X4aAZpreBL7","1",1,0,12,49
"GHA","L04","yDfj9pye3S8","1",3,1,9.66666666666667,24.3333333333333
"GHA","L04","zbPhVbZ2hNA","1",8,0.875,4,17.375
"GHA","L04","zebc4qh1zU8","1",3,0.666666666666667,9.66666666666667,26.3333333333333
"GHA","L04","znLkiipm6hB","1",1,0,4,61
"GHA","L05","4DD1mGbS2b6","1",5,0.2,3.4,22.8
"GHA","L05","6o1LRkbmmy9","1",4,1,8,29
"GHA","L05","6rFDY18oMR9","1",6,0.833333333333333,6.83333333333333,22.5
"GHA","L05","FEggU1cWz95","1",7,0.857142857142857,5.57142857142857,24
"GHA","L05","FYM9NczMwv9","1",5,0,2.8,19.8
"GHA","L05","fyW9nSiREpA","1",10,0.7,8.2,33
"GHA","L05","gggGZ6AgZ6A","1",4,0.75,5,35
"GHA","L05","HqDbz9qjXL","1",8,0.5,5.25,23.375
"GHA","L05","JsGWt7k9dz2","1",3,1,8.33333333333333,33.3333333333333
"GHA","L05","jVAvmnH4bS6","1",4,0.5,5.25,42
"GHA","L05","LFwa12jnrL2","1",5,0.6,7.2,46.6
"GHA","L05","Ly7CbRbwGm9","1",3,0.333333333333333,4.33333333333333,30.3333333333333
"GHA","L05","mKsBRiEXdL6","1",8,0.625,5.14285714285714,20.75
"GHA","L05","nMZQwMPqKU4","1",3,0.333333333333333,7.33333333333333,31
"GHA","L05","o1aKSCrDRMB","1",4,0.5,3,53
"GHA","L05","o1P6K2wcxu7","1",6,0.666666666666667,4.66666666666667,19.5
"GHA","L05","pdf1PrAkhV","1",6,0.666666666666667,8,28.5
"GHA","L05","PpJDFyaTPe6","1",4,0.5,7,42.75
"GHA","L05","QFh29fHsCvA","1",6,0.666666666666667,4.66666666666667,28
"GHA","L05","QYtwXPgNBa3","1",2,0.5,9,51.5
"GHA","L05","SGWDY8X7yo4","1",5,0.2,3.6,21.8
"GHA","L05","U18xstU8LR7","1",8,0.5,6.125,21.875
"GHA","L05","U7thyS2zJj8","1",5,0.4,1.8,19.4
"GHA","L05","uF4YRcniT69","1",5,0.4,5.8,22
"GHA","L05","wGsPM221dM8","1",2,1,5.5,38.5
"GHA","L05","wTASpGRGc38","1",7,0.714285714285714,7.14285714285714,30.1428571428571
"GHA","L05","WX9WPcwEjJ9","1",7,0.428571428571429,3.85714285714286,22.5714285714286
"GHA","L05","XEA6aofdZo5","1",11,0.636363636363636,4.36363636363636,23.4545454545455
"GHA","L05","zAweUkHmCz8","1",7,0.428571428571429,5.57142857142857,30.4285714285714
"GHA","L05","zwCpRhKnPo9","1",8,0.875,8.5,27.125
"GHA","L06","1HhLECbGhy6","1",4,1,11,37.75
"GHA","L06","2Q7MnSV2oJ5","1",2,0.5,8,54.5
"GHA","L06","3262VdP66d2","1",12,0.5,3.91666666666667,69.1666666666667
"GHA","L06","4TJsubF6Yx6","1",8,0.75,4,16.75
"GHA","L06","4xFbY5oyU82","1",7,0.571428571428571,2.71428571428571,12.4285714285714
"GHA","L06","5UXNFVq35e8","1",6,0.333333333333333,5,19.5
"GHA","L06","7KKdwdFxzG7","1",2,0,0,38
"GHA","L06","bJGfxV1Xw6","1",5,0.2,3.4,22
"GHA","L06","bTw4qVWG7a6","1",7,0.428571428571429,2.71428571428571,19.5714285714286
"GHA","L06","BwcbgH6pxh9","1",18,0.666666666666667,4.83333333333333,19.5555555555556
"GHA","L06","c4ZGhkt4uq2","1",3,0.333333333333333,4.33333333333333,79.6666666666667
"GHA","L06","CTRQQXCQTVB","1",8,0.75,7.125,31.625
"GHA","L06","DEyNXLrfRG2","1",16,0.75,5.5625,16.875
"GHA","L06","E3EGXT3BJS5","1",4,0.5,1.5,43.75
"GHA","L06","eYyzj3xgGn8","1",6,0.833333333333333,6.33333333333333,31.1666666666667
"GHA","L06","F7pxhW1PHK7","1",2,0,6.5,31.5
"GHA","L06","GAwYHaSgWn8","1",4,0,3,22.75
"GHA","L06","h7GgmuPVUH3","1",7,0.571428571428571,6.85714285714286,33.7142857142857
