"Country","Landscape","mean_zlen","mean_zwei","mean_zwfl","percent_stunted","percent_severe_stunted","percent_underweight","percent_severe_underweight","percent_wasting","percent_server_wasting","percent_overweight","percent_Composite_Index_Anthropometric_Failure"
"GHA","L01",-0.83875,-1.08444444444444,-0.76875,12.5,12.5,22.2222222222222,11.1111111111111,25,12.5,11.1111111111111,25
"GHA","L02",-2.08870967741935,-1.59967741935484,-0.643793103448276,48.3870967741936,25.8064516129032,48.3870967741936,19.3548387096774,13.7931034482759,0,9.67741935483871,61.2903225806452
"GHA","L03",-2.758,-0.412,-0.465,80,40,20,20,25,25,20,80
"GHA","L04",-1.64666666666667,-1.64333333333333,-0.995,50,16.6666666666667,33.3333333333333,16.6666666666667,33.3333333333333,0,0,66.6666666666667
"GHA","L05",-2.65777777777778,-1.89666666666667,-0.57,66.6666666666667,33.3333333333333,55.5555555555556,22.2222222222222,11.1111111111111,0,0,66.6666666666667
"GHA","L06",-3.64176470588235,-2.77,-0.932352941176471,82.3529411764706,58.8235294117647,66.6666666666667,44.4444444444444,35.2941176470588,11.7647058823529,0,88.8888888888889
"RWA","L01",-2.11688888888889,-0.754,0.633777777777778,48.8888888888889,22.2222222222222,13.3333333333333,4.44444444444444,0,0,2.22222222222222,48.8888888888889
"RWA","L02",-1.635,-0.505714285714286,0.568571428571429,42.8571428571429,14.2857142857143,0,0,0,0,7.14285714285714,42.8571428571429
"RWA","L03",-2.09142857142857,-0.987142857142857,0.201428571428571,57.1428571428571,35.7142857142857,28.5714285714286,0,0,0,0,64.2857142857143
"RWA","L04",-1.35857142857143,-0.850952380952381,-0.17,38.0952380952381,14.2857142857143,19.047619047619,0,9.52380952380952,0,4.76190476190476,42.8571428571429
"RWA","L06",-1.21571428571429,-0.586071428571429,0.112142857142857,28.5714285714286,7.14285714285714,7.14285714285714,0,3.57142857142857,0,10.7142857142857,32.1428571428571
"RWA","L07",-1.24,-0.74,-0.0926315789473685,31.5789473684211,15.7894736842105,26.3157894736842,5.26315789473684,10.5263157894737,5.26315789473684,10.5263157894737,42.1052631578947
"TZA","L03",-1.28857142857143,-2.07333333333333,-1.201875,35.7142857142857,35.7142857142857,55.5555555555556,22.2222222222222,31.25,6.25,0,72.2222222222222
"TZA","L10",-2.15181818181818,-1.08869565217391,0.39695652173913,54.5454545454545,27.2727272727273,21.7391304347826,0,0,0,4.34782608695652,56.5217391304348
"TZA","L11",-1.496,0.165555555555556,0.512,40,40,11.1111111111111,0,40,0,22.2222222222222,80
"TZA","L18",-3.22333333333333,-1.86,-0.387777777777778,100,66.6666666666667,70,0,0,0,0,100
"TZA","L19",-2.188,-0.431875,0.716428571428571,46.6666666666667,46.6666666666667,25,0,0,0,18.75,46.6666666666667
"TZA","L20",-0.4392,-0.558214285714286,0.102962962962963,16,12,14.2857142857143,10.7142857142857,18.5185185185185,3.7037037037037,10.7142857142857,37.037037037037
"TZA","L22",-0.488333333333333,-1.22,0.583333333333333,33.3333333333333,33.3333333333333,27.2727272727273,18.1818181818182,22.2222222222222,22.2222222222222,0,77.7777777777778
"UGA","L01",-0.48025641025641,-0.53609756097561,-0.277179487179487,20.5128205128205,12.8205128205128,9.75609756097561,4.8780487804878,17.9487179487179,10.2564102564103,9.75609756097561,40
"UGA","L02",-0.87,-0.02,0.641428571428571,28.5714285714286,21.4285714285714,7.14285714285714,0,7.14285714285714,0,14.2857142857143,35.7142857142857
"UGA","L03",-0.411578947368421,0.0195833333333333,-0.174444444444444,31.5789473684211,26.3157894736842,0,0,16.6666666666667,11.1111111111111,29.1666666666667,47.3684210526316
"UGA","L04",-1.6815,-0.945714285714286,-0.18952380952381,55,25,23.8095238095238,19.047619047619,9.52380952380952,4.76190476190476,9.52380952380952,60
"UGA","L06",-0.631851851851852,-0.175185185185185,0.394444444444444,22.2222222222222,14.8148148148148,7.40740740740741,3.7037037037037,3.7037037037037,3.7037037037037,11.1111111111111,25.9259259259259
"UGA","L07",-0.492777777777778,0.175789473684211,0.352631578947368,22.2222222222222,16.6666666666667,5.26315789473684,0,0,0,15.7894736842105,22.2222222222222
