"Country","Landscape","avg_meals","Percent_Shortage_Past_Year","Mean_Diet_Diversity","Mean_Nonfood_Spending","Mean_Food_Consumption_Value","Mean_Food_Spending","Food_As_Percent_Total_Spending"
"GHA","L01",2.96875,15.625,0.580357142857143,1371.58440596132,462.430715271389,939.963503334867,45.5535553695997
"GHA","L02",3.125,12.5,0.704910714285714,1867.81222032801,703.201975045998,1846.83735338086,46.8142426102772
"GHA","L03",2.7,6.66666666666667,0.579047619047619,869.367650080479,789.37497700092,631.084268629255,44.2622090381655
"GHA","L04",2.90625,15.625,0.567857142857143,1918.19991400517,659.469669963201,1238.12638713201,42.912516126622
"GHA","L05",2.86666666666667,0,0.653809523809524,1919.68392099339,483.30630174793,1206.08725850966,44.1587755397529
"GHA","L06",2.70967741935484,37.0967741935484,0.605990783410138,2914.38851870334,958.312527821468,1476.10340683147,38.9819354352928
"RWA","L01",1.86666666666667,81.6666666666667,0.502857142857143,368.135275651633,349.5580472103,310.239630424416,51.6545272150718
"RWA","L02",2.2,80,0.556666666666667,1288.43237618366,375.219861707201,367.056151645207,29.7211623669306
"RWA","L03",1.93333333333333,90,0.554285714285714,607.520781022117,221.60121602289,386.015021459228,48.2648276108501
"RWA","L04",2,83.3333333333333,0.561904761904762,726.669673156078,239.285801144492,473.370863137816,51.1093796326793
"RWA","L06",2.06666666666667,70,0.59,576.427729303145,208.542387935145,398.193246304244,55.0838193995516
"RWA","L07",1.76666666666667,93.3333333333333,0.563333333333333,266.019954004953,276.043216499762,267.672305674773,54.2718826342321
"TZA","L03",2.16666666666667,20,0.603333333333333,304.664573354877,612.691636851521,273.952638640429,47.2621252488894
"TZA","L10",2.53333333333333,60,0.558571428571429,341.132133308052,413.085912343471,372.395259391771,53.0633621166535
"TZA","L11",2.6,6.66666666666667,0.654761904761905,388.680371741287,507.486672629696,492.057647584973,59.7272814938741
"TZA","L18",2.5,63.3333333333333,0.646666666666667,552.291389193452,333.298032200358,633.581059928444,58.3332906928187
"TZA","L19",2.7,46.6666666666667,0.618095238095238,285.974279558901,518.151502066498,576.608383196595,65.7131588720554
"TZA","L20",2.9,40,0.654285714285714,836.549085897848,1369.37455277281,721.472093023256,51.2628569658983
"TZA","L22",2.73333333333333,46.6666666666667,0.64,224.0465028345,449.19060822898,660.999642218247,73.928556680571
"UGA","L01",2.4,80,0.596190476190476,1013.48996750479,464.304645340751,648.547148817803,49.1698483113855
"UGA","L02",2.36666666666667,80,0.584285714285714,581.6175590351,228.695660639777,534.283922114047,52.9385791168932
"UGA","L03",2.63333333333333,36.6666666666667,0.619047619047619,722.586421403682,503.512378303199,373.150292072323,41.299065626832
"UGA","L04",2.43333333333333,86.6666666666667,0.468571428571429,830.401937663037,503.004756606398,495.994742698192,37.0529234221894
"UGA","L06",2.93333333333333,50,0.608095238095238,783.853114305797,601.386675938804,594.038247566064,46.6072159397277
"UGA","L07",2.2,93.3333333333333,0.501904761904762,509.548447686132,294.323894297636,349.896383866481,41.775152138614
