"Country","Landscape..","median_field_size","Mean_HH_Area_Farmed","Intercrop_Rate","Pesticide_Rate","Herbicide_Rate","Fungicide_Rate","Mean_Yield_Quantile","Avg_Pct_Crops_Any_Sold","Pct_Fields_Irrigates","Pct_Fields_Inorg_Fert","Pct_Fields_Purchased_Seed","Pct_Fields_Fallow","Mean_HH_Number_Fields","Mean_Area_Owned","Area_Owned_Ineq_Gini"
"GHA","L01",2.65,8.09066666666667,0.0822222222222222,0,0.595555555555556,0,1.91111111111111,0.3,0,0.463333333333333,0.284444444444444,0.938888888888889,2.66666666666667,8.09066666666667,0.602757635684465
"GHA","L02",4.1,9.39568111111111,0.00740740740740741,0.00740740740740741,0.755864197530864,0,2.71234567901235,0.764814814814815,0,0.427777777777778,0.169444444444444,0.91358024691358,3.62962962962963,9.33016259259259,0.364316620655371
"GHA","L03",2.2204,5.9074175,0.040625,0.164583333333333,0.280625,0,2.27375,0.704404761904762,0,0.281130952380952,0.17,0.19125,3.9,5.9074175,0.429975810072676
"GHA","L04",1.96535,5.05032684210526,0.0350877192982456,0.319497607655502,0.157894736842105,0,2.76666666666667,0.556140350877193,0,0.0701754385964912,0.172248803827751,0.0087719298245614,3.68421052631579,3.76072105263158,0.416524414079548
"GHA","L05",3.31465,7.94505862068966,0.181609195402299,0.0620689655172414,0.141954022988506,0,2.5468253968254,0.636781609195402,0,0.0919540229885057,0.0445402298850575,0.0431034482758621,3.03448275862069,7.99865862068966,0.452909917907014
"GHA","L06",1.6,2.39798125,0.21875,0.03125,0.383854166666667,0,1.94259259259259,0.393229166666667,0,0.264583333333333,0.281623931623932,0,2.875,2.20860625,0.702043603573521
"RWA","L01",0.16645,0.52748,0.271279877998945,0.0501388888888889,0.00277777777777778,0.025,2.44386271068256,0.295703338806787,0,0.420818903318903,0.437314342182496,0.0791666666666667,2.96666666666667,0.4928,0.371453373015873
"RWA","L02",0.2541,0.62413,0.0495238095238095,0.330833333333333,0.0861111111111111,0.0166666666666667,3.0437925170068,0.523095238095238,0,0.420238095238095,0.393650793650794,0.0277777777777778,2.43333333333333,0.60516,0.397405644788155
"RWA","L03",0.45735,1.50223103448276,0.315927750410509,0,0,0,2.1814039408867,0.308292282430213,0,0,0.233497536945813,0.201149425287356,2.41379310344828,1.49188965517241,0.527961569778155
"RWA","L04",0.1721,1.07473064516129,0.133026113671275,0.082258064516129,0,0.0241935483870968,2.45729166666667,0.191013824884793,0,0.139784946236559,0.688312852022529,0.0795698924731183,2.19354838709677,1.05637064516129,0.721777691723411
"RWA","L06",0.1398,0.535374137931034,0.384012826254206,0.046264367816092,0.0028735632183908,0,2.68107586857587,0.325271512113617,0.0169540229885057,0.0894567597153804,0.211100489548765,0.0637931034482759,3.08620689655172,0.494958620689655,0.342450106928311
"RWA","L07",0.26655,0.7962,0.608095238095238,0.05,0,0,2.22871693121693,0.306468253968254,0.0166666666666667,0.0666666666666667,0.302685185185185,0.0166666666666667,2.2,0.779926666666667,0.394725145099112
"TZA","L03",1.8,7.63333333333333,0.532716049382716,0.312962962962963,0.380246913580247,0,2.75061728395062,0.401234567901235,0,0,0.373456790123457,1.08148148148148,2.88888888888889,6.50740740740741,0.41016884841586
"TZA","L10",2.05,5.327,0.776666666666667,0.0666666666666667,0.166666666666667,0,1.85,0.366666666666667,0,0.538888888888889,0.127777777777778,1.00833333333333,1.63333333333333,4.03266666666667,0.412679781782113
"TZA","L11",1.3,2.83448275862069,0.614942528735632,0.149425287356322,0.248275862068966,0,3.14655172413793,0.626436781609195,0,0.840229885057471,0.204022988505747,0.959770114942529,1.86206896551724,2.36551724137931,0.443852417814416
"TZA","L18",1.825,9.38222222222222,0.435185185185185,0.138888888888889,0.324074074074074,0,2.33888888888889,0.37962962962963,0.305555555555556,0.388888888888889,0.398148148148148,0.361111111111111,1.33333333333333,9.28222222222222,0.784787061421009
"TZA","L19",3.3,8.16666666666667,0.25,0.145833333333333,0.166666666666667,0,2.32971014492754,0.5625,0,0.125,0.0416666666666667,0.989583333333333,1.625,7.9375,0.595253718285214
"TZA","L20",2.2,9.34782608695652,0.210144927536232,0.210144927536232,0.152173913043478,0,2.91304347826087,0.543478260869565,0.0434782608695652,0.268115942028985,0.260869565217391,1.01231884057971,2.47826086956522,8.66521739130435,0.466415061410589
"TZA","L22",1.2,2.95033333333333,0.272222222222222,0.0611111111111111,0.108333333333333,0,1.96264367816092,0.375,0,0,0.0694444444444444,0.883333333333333,2.1,2.667,0.343836187143274
"UGA","L01",0.4825,1.78868,0.331785714285714,0,0,0,2.01444444444444,0.15515873015873,0,0.0361111111111111,0.299166666666667,0.268333333333333,3.13333333333333,1.51478,0.359349432480844
"UGA","L02",0.2575,0.743533333333333,0.622037037037037,0.055,0.00333333333333333,0,1.97796296296296,0.122592592592593,0,0.171944444444444,0.462407407407407,0.0222222222222222,2.73333333333333,0.719033333333333,0.411458285043191
"UGA","L03",0.35,2.36901034482759,0.325478927203065,0.184891401701747,0.0814176245210728,0,2.51053639846743,0.377914614121511,0.00689655172413793,0.0558908045977011,0.259003831417625,0.136288998357964,4.3448275862069,2.20890689655172,0.345284712896501
"UGA","L04",0.125,0.521644827586207,0.123283230179782,0.295641140468727,0,0,2.54739073187349,0.26264367816092,0.0197044334975369,0.0770114942528736,0.168427645151783,0.176354679802956,4.20689655172414,0.402079310344828,0.390222408070769
