"Country","Landscape..","median_field_size","Mean_HH_Area_Farmed","Intercrop_Rate","Pesticide_Rate","Herbicide_Rate","Fungicide_Rate","Mean_Yield_Quantile","Avg_Pct_Crops_Any_Sold","Pct_Fields_Irrigated","Pct_Fields_Inorg_Fert","Pct_Fields_Purchased_Seed","Mean_HH_Number_Fields","Mean_Area_Owned","Area_Owned_Ineq_Gini"
"GHA","L01",2.825,7.21806451612903,0.0744444444444444,0.010752688172043,0.70752688172043,0,2.12365591397849,0.346774193548387,0,0.454838709677419,0.225555555555556,2.48387096774194,8.09066666666667,0.602757635684465
"GHA","L02",4.1,9.05967966666667,0.00666666666666667,0.00666666666666667,0.763611111111111,0,2.64111111111111,0.788333333333333,0,0.451666666666667,0.1525,3.43333333333333,9.33016259259259,0.364316620655371
"GHA","L03",2.2204,5.28454166666667,0.0270833333333333,0.115277777777778,0.374861111111111,0,2.27865079365079,0.702936507936508,0,0.239087301587302,0.214166666666667,3.43333333333333,5.9074175,0.429975810072676
"GHA","L04",1.7,5.32999387096774,0.134408602150538,0.243401759530792,0.198387096774194,0,2.59466666666667,0.496774193548387,0,0.043010752688172,0.148313782991202,3.16129032258065,3.76072105263158,0.416524414079548
"GHA","L05",3.337,8.13149666666667,0.195555555555556,0.06,0.137222222222222,0,2.54872448979592,0.637777777777778,0,0.0888888888888889,0.0430555555555556,3.1,7.99865862068966,0.452909917907014
"GHA","L06",1.6,1.59255,0.245726495726496,0.0317460317460317,0.483333333333333,0,2.02424242424242,0.394791666666667,0.00793650793650794,0.258130081300813,0.160763888888889,2.69047619047619,2.20860625,0.702043603573521
"RWA","L01",0.16645,0.52748,0.271279877998945,0.0501388888888889,0.00277777777777778,0.025,2.44481343819579,0.295703338806787,0,0.420818903318903,0.437314342182496,2.96666666666667,0.4928,0.371453373015873
"RWA","L02",0.2541,0.62413,0.0495238095238095,0.330833333333333,0.0861111111111111,0.0166666666666667,3.03486394557823,0.523095238095238,0,0.420238095238095,0.393650793650794,2.43333333333333,0.60516,0.397405644788155
"RWA","L03",0.458625,1.46748666666667,0.305396825396825,0,0,0,2.23535714285714,0.298015873015873,0,0,0.259047619047619,2.36666666666667,1.49188965517241,0.527961569778155
"RWA","L04",0.1736,1.10989833333333,0.137460317460317,0.085,0,0.025,2.42065217391304,0.197380952380952,0,0.144444444444444,0.694589947089947,2.23333333333333,1.09092633333333,0.713554495022935
"RWA","L06",0.149225,0.549005172413793,0.390749893381472,0.0470760233918129,0.00292397660818713,0,2.67546689421689,0.319175170068027,0.0172514619883041,0.0910261765524923,0.21480400690927,3.1551724137931,0.497938596491228,0.343171678866858
"RWA","L07",0.26655,0.7962,0.608095238095238,0.05,0,0,2.22621693121693,0.306468253968254,0.0166666666666667,0.0666666666666667,0.302685185185185,2.2,0.779926666666667,0.394725145099112
"TZA","L03",1.8,8.21666666666667,0.521111111111111,0.29,0.375555555555556,0,2.75611111111111,0.377777777777778,0,0.0166666666666667,0.402777777777778,2.86666666666667,6.50740740740741,0.41016884841586
"TZA","L10",2.05,5.327,0.776666666666667,0.0666666666666667,0.166666666666667,0,1.85,0.366666666666667,0,0.538888888888889,0.127777777777778,1.63333333333333,4.03266666666667,0.412679781782113
"TZA","L11",1.35,2.8,0.594444444444444,0.144444444444444,0.24,0,3.175,0.605555555555556,0,0.812222222222222,0.197222222222222,1.83333333333333,2.36551724137931,0.443852417814416
"TZA","L18",1.1,7.07296296296296,0.352564102564103,0.173076923076923,0.262820512820513,0.0192307692307692,2.52536231884058,0.461538461538462,0.4375,0.520833333333333,0.525641025641026,1.2962962962963,9.28222222222222,0.784787061421009
"TZA","L19",2.2,7.02448275862069,0.224137931034483,0.120689655172414,0.137931034482759,0,2.27083333333333,0.586206896551724,0,0.120689655172414,0.0344827586206897,1.62068965517241,7.9375,0.595253718285214
"TZA","L20",2.3,8.42666666666667,0.161111111111111,0.177777777777778,0.183333333333333,0,3.13333333333333,0.6,0.0333333333333333,0.305555555555556,0.333333333333333,2.23333333333333,8.66521739130435,0.466415061410589
"TZA","L22",1.2,2.95033333333333,0.272222222222222,0.0611111111111111,0.108333333333333,0,1.96264367816092,0.375,0,0,0.0694444444444444,2.1,2.667,0.343836187143274
"UGA","L01",0.4825,1.78868,0.331785714285714,0,0,0,2.00666666666667,0.15515873015873,0,0.0361111111111111,0.299166666666667,3.13333333333333,1.51478,0.359349432480844
"UGA","L02",0.2575,0.743533333333333,0.622037037037037,0.055,0.00333333333333333,0,1.99462962962963,0.122592592592593,0,0.171944444444444,0.462407407407407,2.73333333333333,0.719033333333333,0.411458285043191
"UGA","L03",0.3775,2.30537666666667,0.31462962962963,0.178728354978355,0.112037037037037,0,2.55,0.398650793650794,0.00666666666666667,0.0540277777777778,0.283703703703704,4.23333333333333,2.20890689655172,0.345284712896501
"UGA","L04",0.125,0.521644827586207,0.123283230179782,0.295641140468727,0,0,2.55454851661748,0.26264367816092,0.0197044334975369,0.0770114942528736,0.168427645151783,4.20689655172414,0.402079310344828,0.390222408070769
"UGA","L06",0.8,4.12453333333333,0.0847619047619048,0.127489177489177,0.215846560846561,0,3.24396825396825,0.566111111111111,0.0111111111111111,0.0261111111111111,0.317936507936508,3.63333333333333,3.852,0.460472428846928
"UGA","L07",0.5225,2.078,0.292936507936508,0,0,0,2.23551587301587,0.13276455026455,0,0,0.43462962962963,3.63333333333333,1.858,0.398732209065901
