"survey_uuid","Landscape..","Eplot..","latitude","longitude","Country","biodiversity","eplot_code"
"08ab2034-b6ba-4374-a803-9ba1f431230d","000","016",-0.22241,31.74819,"UGA",1.7166653173827,"UGA-000-016"
"08d7671c-ed59-4b1f-a7b6-fdf75d6914f7","L22","007",-8.14931,38.71893,"TZA",2.31387718479968,"TZA-L22-007"
"08e159f9-a279-402c-87ec-4daa5d74d5b9","000","162",0.72826,32.94418,"UGA",1.57245964833526,"UGA-000-162"
"095288c8-f124-45c1-afe0-1db83372f831","000","226",-6.5774,38.56973,"TZA",2.08957228115405,"TZA-000-226"
"09b088d4-6bca-4205-a3b2-590463826449","L10","006",-7.52016,36.42562,"TZA",1.49048098512788,"TZA-L10-006"
"09c3b412-edcd-4fef-a944-affcfcbef929","L04","006",6.51715,-1.51202,"GHA",0.555118166181353,"GHA-L04-006"
"09d4c71d-1400-4ed1-ab0a-d972bac8a41e","000","400",3.41145,31.56264,"UGA",0.592757861549486,"UGA-000-400"
"0a273885-5bb9-400f-b9c0-a4830143a891","000","372",-9.78933,34.52111,"TZA",1.76737793453002,"TZA-000-372"
"0a4af0ff-87b4-44ab-9569-6b17de4f8a14","L20","007",-8.57259,34.27673,"TZA",0,"TZA-L20-007"
"0aa0d46b-e100-461a-ac7b-011afbbfdc44","000","148",6.4494,-1.91992,"GHA",0.499065970003161,"GHA-000-148"
"0aa72de0-c30f-46ea-a6a6-7015f78ca7a7","000","026",-7.67201,39.09985,"TZA",0.201012682362384,"TZA-000-026"
"0b12e105-d611-4414-a2bc-1e555398611d","000","119",-2.36026,30.13615,"RWA",0,"RWA-000-119"
"0b370d2f-efc9-4e55-8908-7d073bee3cca","000","095",-8.32127,31.81637,"TZA",0.0956543109172724,"TZA-000-095"
"0b3c2c8f-ad62-4da1-8336-3351779dd39c","000","392",6.24274,0.70289,"GHA",0.182990855667826,"GHA-000-392"
"0b5fcdd1-0d00-42c5-828b-9f6916171dde","000","307",2.10726,33.33281,"UGA",1.70230139101296,"UGA-000-307"
"0b8eea49-0871-4e02-baba-6b78524f0920","000","284",0.7241,33.489,"UGA",1.97920451743432,"UGA-000-284"
"0bb04cfa-fa39-4a04-99d8-a3db6d289081","000","139",-1.40735,30.32269,"RWA",0,"RWA-000-139"
"0bdd5cca-ff87-47f6-a2bf-1c10a84b29a2","L19","004",-8.06041,36.48324,"TZA",2.17891946150642,"TZA-L19-004"
"0bff4730-8a5f-4660-9102-df85fc0753cf","000","029",9.07847,-0.84269,"GHA",0.0540654800836757,"GHA-000-029"
"0c3598bf-25f0-4f3d-bd1c-3c3f664d44b8","000","158",-1.38362,29.71844,"RWA",0,"RWA-000-158"
"0c4e2bc7-9809-44c3-82ec-616178b4568f","000","229",6.08824,0.73838,"GHA",0,"GHA-000-229"
"0c828a5c-4a82-4979-a898-0abc703b2e51","000","234",-7.85028,33.39038,"TZA",1.52158894298642,"TZA-000-234"
"0c8d7007-cbfe-4ee5-b3a5-01b94bd49132","000","082",6.91724,-2.27014,"GHA",0.508524623468909,"GHA-000-082"
"0d09ad60-ab51-4492-ae9e-ca99568debf3","000","154",7.15835,-2.13234,"GHA",1.67538449434556,"GHA-000-154"
"0d290ce8-4d0f-40c8-9cdc-ae2868bd298d","000","141",5.95172,-0.16367,"GHA",0.242601513195981,"GHA-000-141"
"0d679720-6e41-4985-9d17-ee8afdf4bd9a","L11","002",-10.09787,34.70153,"TZA",1.79178838930147,"TZA-L11-002"
"0d925e57-e784-4937-8dea-2d882ea9c54b","000","233",9.31408,-1.05016,"GHA",0,"GHA-000-233"
"0dfbf085-d943-489d-925e-30d59c95981c","000","086",-1.47586,30.11826,"RWA",0.435553956335034,"RWA-000-086"
"0e2d09c3-35a8-4710-9f42-a9f94ae78698","L06","004",5.7229,-0.51925,"GHA",0,"GHA-L06-004"
"0eb95d58-565e-4a8e-b596-88c142c51d16","L18","007",-7.56419,36.47226,"TZA",1.7247151832004,"TZA-L18-007"
"0f3ae0a8-6b43-456c-a4c0-f5f0597f35f8","000","163",-2.57364,29.62639,"RWA",0,"RWA-000-163"
"0f4268d7-3397-45da-a526-8e3dccfad803","000","273",-7.12236,33.41082,"TZA",1.51002909962058,"TZA-000-273"
"0f664d6a-09cb-4779-a0eb-31a2d6362e82","000","295",2.44538,32.90178,"UGA",1.67685384793263,"UGA-000-295"
"0fb8a759-fa8c-4c3c-87db-98a174b3e77d","000","051",7.41214,-1.55856,"GHA",0,"GHA-000-051"
"0fc792b7-f134-46c2-abb2-1ed093356ece","000","333",1.46929,34.39148,"UGA",0.643086664434964,"UGA-000-333"
"10094898-d301-40fd-b695-d409b0f7d8c2","000","088",-9.19401,33.80836,"TZA",0.0956543109172724,"TZA-000-088"
"102cbefa-d2ab-40d8-9966-5885cda9cb64","L03","010",-1.9061,30.70112,"RWA",0.872318291552303,"RWA-L03-010"
"104eee6d-96ca-4f43-8930-cf439cc02836","000","141",-0.79131,29.90326,"UGA",1.54030582522652,"UGA-000-141"
"10542a94-c1a8-4629-8611-dd7da8b520d9","000","151",5.28498,-1.40309,"GHA",0.921188107780096,"GHA-000-151"
"10834179-c487-48cb-9d3c-9d22fb0d8f6a","L03","002",-7.93331,31.73594,"TZA",0.155264968445428,"TZA-L03-002"
