,Country,Scale,Data,Name,Code,Cult.area,Area,Pct.cult
1,Ghana,Landscape,Family5,Semi-Deciduous Forest,L04,460.87,9997,4.61
2,Ghana,Landscape,Family5,Coastal Savannah,L06,5160,9996,51.62
