"Country","Landscape..","latitude","longitude","avg_meals","food_shortage","diet_diversity"
"GHA","L01",10.5590000152588,-0.834999084472656,2.96666666666667,0.133333333333333,0.583809523809524
"GHA","L02",9.90400123596191,-0.854499816894531,3.13333333333333,0.133333333333333,0.704761904761905
"GHA","L03",7.70899963378906,-0.880999565124512,2.7,0.0666666666666667,0.579047619047619
"GHA","L04",6.55200004577637,-1.49399948120117,2.9,0.166666666666667,0.57047619047619
"GHA","L05",5.09250068664551,-2.57799911499023,2.86666666666667,0,0.653809523809524
"GHA","L06",5.72800064086914,-0.510699272155762,2.74,0.38,0.606571428571429
"RWA","L01",-2.57578970240643,29.4347584689003,1.86666666666667,0.816666666666667,0.502857142857143
"RWA","L02",-1.48050348714566,29.55086017135,2.2,0.8,0.556666666666667
"RWA","L03",-1.93426664412886,30.678255588268,1.93333333333333,0.9,0.554285714285714
"RWA","L04",-1.80927231441535,29.3847853801739,2,0.838709677419355,0.560829493087558
"RWA","L06",-1.97725720942347,29.7928701957997,2.0655737704918,0.688524590163934,0.592037470725995
"RWA","L07",-2.28718495548197,30.0187746264512,1.76666666666667,0.933333333333333,0.563333333333333
"TZA","L03",-7.93601976329183,31.7140544443077,2.16666666666667,0.2,0.603333333333333
"TZA","L10",-8.53911341077989,34.8481422428861,2.53333333333333,0.6,0.558571428571429
"TZA","L11",-10.0674212512047,34.6613285529092,2.6,0.0666666666666667,0.654761904761905
"TZA","L18",-7.53483534169035,36.4463760379053,2.5,0.633333333333333,0.646666666666667
"TZA","L19",-8.09763085083975,36.5229650139842,2.7,0.466666666666667,0.618095238095238
"TZA","L20",-8.60363144569888,34.3167307654591,2.9,0.4,0.654285714285714
"TZA","L22",-8.14419444155308,38.7492089681939,2.73333333333333,0.466666666666667,0.64
"UGA","L01",3.5840602791963,31.1975267607797,2.4,0.8,0.596190476190476
"UGA","L02",1.03690346284041,34.3568865263743,2.36666666666667,0.8,0.584285714285714
"UGA","L03",0.203686999334623,32.1222569707067,2.63333333333333,0.366666666666667,0.619047619047619
"UGA","L04",-1.24177656546097,29.7871381860837,2.43333333333333,0.866666666666667,0.468571428571429
"UGA","L06",1.87635436806258,31.7560832397785,2.93333333333333,0.5,0.608095238095238
"UGA","L07",2.45257755461486,33.2567780274687,2.2,0.933333333333333,0.501904761904762
